035420,NAVER,156852638,0,368603, 
160550,NEW,27906106,0,721, 
181710,NHN,33766123,0,9083, 
060250,NHN KCP,40160611,0,5429, 
104200,NHN벅스,14827550,0,484, 
005940,NH투자증권,356344369,0,75723, 
034310,NICE,37128442,0,5268, 
063570,NICE인프라,34147728,0,1522, 
030190,NICE평가정보,59506593,0,8920, 
008260,NI스틸,28600117,0,1101, 
004250,NPC,36720000,0,1520, 
456040,OCI,8952495,0,5093, 
010060,OCI홀딩스,18814917,0,18645, 
178920,PI첨단소재,29366322,0,5215, 
001340,PKC,44918407,0,2663, 
024940,PN풍년,10000000,0,481, 
005490,POSCO홀딩스,80932952,0,228230, 
332570,PS일렉트로닉스,43435746,0,2558, 
218410,RFHIC,26503442,0,8467, 
474610,RF시스템즈,13427822,0,707, 
010950,S-Oil,112582792,0,65973, 
019550,SBI인베스트먼트,162066575,0,1223, 
034120,SBS,18551238,0,3719, 
036540,SFA반도체,164460303,0,5920, 
040610,SG&G,34087196,0,622, 
005090,SGC에너지,14409333,0,3422, 
001380,SG글로벌,44964143,0,762, 
004060,SG세계물산,202424960,0,649, 
002360,SH에너지화학,111133730,0,474, 
009160,SIMPAC,65429516,0,3009, 
033530,SJG세종,27820961,0,1747, 
034730,SK,72502703,0,168931, 
011790,SKC,37868298,0,39988, 
018670,SK가스,9245244,0,22419, 
001740,SK네트웍스,221277902,0,10090, 
006120,SK디스커버리,18347855,0,9981, 
210980,SK디앤디,18617382,0,1869, 
302440,SK바이오사이언스,78369145,0,39419, 
326030,SK바이오팜,78313250,0,86692, 
402340,SK스퀘어,132540858,0,273034, 
361610,SK아이이테크놀로지,81787100,0,23145, 
100090,SK오션플랜트,60180336,0,17181, 
096770,SK이노베이션,169052788,0,177505, 
475150,SK이터닉스,33754042,0,7999, 
001510,SK증권,472590171,0,3322, 
285130,SK케미칼,17253783,0,11111, 
017670,SK텔레콤,214790053,0,117060, 
000660,SK하이닉스,728002365,0,2533448, 
048550,SM C&C,96714620,0,1313, 
063440,SM Life Design,46029154,0,747, 
064960,SNT모티브,26540272,0,10244, 
100840,SNT에너지,20680783,0,12346, 
067160,SOOP,11494767,0,8919, 
005610,SPC삼립,8629009,0,4832, 
077970,STX엔진,40148063,0,18187, 
289080,SV인베스트먼트,54136250,0,1013, 
002710,TCC스틸,26213697,0,4445, 
069260,TKG휴켐스,40878588,0,7509, 
007980,TP,51175130,0,874, 
246690,TS인베스트먼트,41477862,0,587, 
002900,TYM,45050956,0,2689, 
057030,YBM넷,16312697,0,546, 
037270,YG PLUS,63611560,0,5330, 
040300,YTN,47676980,0,1332, 
052220,iMBC,23000000,0,802, 
139130,iM금융지주,162054666,0,23789, 
079940,가비아,13535684,0,4067, 
000500,가온전선,16543115,0,10025, 
399720,가온칩스,11600420,0,5858, 
036620,감성코퍼레이션,90503771,0,5538, 
000860,강남제비스코,13000000,0,1582, 
198440,강동씨앤엘,60931896,0,788, 
035250,강원랜드,213940500,0,38295, 
114190,강원에너지,26123038,0,3038, 
094480,갤럭시아머니트리,39229838,0,4170, 
011420,갤럭시아에스엠,27549644,0,615, 
039240,경남스틸,26979604,0,833, 
002100,경농,19522575,0,1901, 
009450,경동나비엔,14568592,0,11480, 
267290,경동도시가스,5895406,0,1214, 
012320,경동인베스트,2365023,0,1463, 
011040,경동제약,30768766,0,1830, 
000050,경방,27415270,0,2006, 
214390,경보제약,23906860,0,1300, 
012610,경인양행,41616365,0,1300, 
024910,경창산업,35819005,0,570, 
013580,계룡건설,8930907,0,1821, 
002140,고려산업,24939425,0,668, 
049720,고려신용정보,14300000,0,1487, 
010130,고려아연,20023273,0,205639, 
002240,고려제강,27000000,0,4806, 
014570,고려제약,11000000,0,508, 
348150,고바이오랩,19418889,0,1186, 
950190,고스트스튜디오,13017059,0,1266, 
098460,고영,68654755,0,10840, 
215000,골프존,6275415,0,3878, 
121440,골프존홀딩스,42836818,0,2420, 
366030,공구우먼,22653850,0,988, 
009290,광동제약,52420851,0,3208, 
017900,광전자,57943763,0,1103, 
037710,광주신세계,7957190,0,2438, 
030610,교보증권,113962961,0,11384, 
339770,교촌에프앤비,49965080,0,2318, 
053270,구영테크,27410405,0,604, 
007690,국도화학,9260832,0,3482, 
066620,국보디자인,7500000,0,1698, 
043650,국순당,17858304,0,821, 
006050,국영지앤엠,34895243,0,450, 
307750,국전약품,50092230,0,2016, 
